ID	TITLE	COMMENT	RATING	SENTIMEN
1640	Subhanallah	Semoga berkah.. ????	5	Positive
1641	Aplikasi yang sangat cantik, usefull	Selain tampilan yang bagus, mohon agar dibuat versi iPad nya. Terima kasih	5	Positive
1643	TOP	"Assalamualaikum
Terimakasih banyak mas atas aplikasinya 
Semoga barakah buat anda dan keluarga 
Menjadi tabungan akhirat kelak 
Aamiin"	5	Positive
1644	selalu crash!!!	selalu crash setiap mau mencari kata!! jangan update ke versi ini!!!	1	Negative
1645	Great!	Thank you for making this ??	5	Positive
1646	Keren, tapi..	ini appnya udah bagus dan keren sih kak, tapi sayang karena tampilang agak kurang cocok dengan ios 7+	5	Positive
1647	KBBI yg sangat membantu !! :)	KBBI ini sangat cepat dan membantu dalam pelajaran. This KBBI better than the blue one. :)	5	Positive
1648	Great apps	"Keren bro. Membantu dalam proses belajar mengajar

Thank you. It&#39;s help us on teaching."	5	Positive
1649	Sangat Memuaskan	Benar - benar aplikasi yang saya cari. Selain itu dengan aplikasi ini saya tidak perlu online untuk membuka situs KBBI atau membuka kamus bahasa indonesia yang relatif berukuran besar, sangat - sangat bermanfaat bagi saya. Terimakasih	5	Positive
1650	Istimewa	Aplikasi luar biasa. Patut dimilki orang indonesia. Jadi gak perlu kamus tebel nih.	5	Positive
1651	Bagus	Bagus sekali!	5	Positive
1652	Ios 5.1.1	Yah.. Ga ada versi utk ios 5.1.1 ya???	1	Neutral
1653	Bug?	"Klo belum pernah bookmarks trus buka list bookmarks gak ada tombol utk balik lagi ke halaman pencarian. 

All in all, good app."	3	Neutral
1654	Terimakasih!	Sangat membantu, terimakasih banyak!	4	Positive
1655	Hebat	Aplikasi bahasa Indonesia yang amat membantu dalam kebutuhan mengolah kata dalam berita, syukron Yufid	5	Positive
1656	Mantap Gan..	"Apps nya membantu banget.. Dikembangkan terus gan...
:sundul"	5	Positive
1659	Kbbi	Mantap! Thanks	5	Positive
1661	good job	sangat membantu saya dalam perkuliahan :)	5	Positive
1662	*****	Ngebantu bgt! Dan ini geratissss hehe	5	Positive
1663	Bagus	Sangat banyak membantu	5	Positive
1664	Thanks	Terimakasih diberikan gratis mengunduh KBBI	4	Positive
1748	Layar hitam	Kenapa versi terbarunya sering layar hitam/hang?	2	Negative
1749	Sering Error	Sering eror, tiba-tiba engga bisa dibuka, dan layar nya hitam. Setelah di delete app nya kemudian di download kembali, baru bisa deh. Tapi eror nya terus menerus. Jadi delete forever aja.	1	Negative
1750	Blank screen on iOS9	Tidak bisa dibuka dengan iOS9.	1	Negative
1752	Cool	Videonya keren2 dan desainnya jadi mudah	5	Positive
1753	Crash	Kok malah error sih, padahal udah pake setahun begitu update di ios 9 malah nge blank,, poor..!! Not recommended!!	1	Negative
1754	Di update makin error	"Setelah di update kompas terbaru malah keluar layar hitam dan beberapa detik langsung crash, dan sampai skrg tidak bisa dibuka lagi.
Fyi: iOs 9+ iPhone 6"	1	Negative
1757	Appnya bagus..up to date	Mohon ditambahkan fitur bookmark ya,agar bisa menyimpan artikel..itu saja,sisanya sangat bagus dan terupdate!!	4	Positive
1759	bugs	benerin donk admin, ane di UK gak bisa cek berita Indonesia neh..	1	Negative
1762	Ads	Setiap membaca berita di aplikasi anda,iklan selalu menutupi sebagian besar tulisan di berita dan sulit untuk ditutup. Iklan tidak diletakan ditempat lain yg masih bisa dilihat tapi tidak mengganggu pengguna aplikasi anda membaca berita..Ini aplikasi membaca berita atau tempat iklan??	1	Negative
1765	Penempatan iklan-nya sangat bodoh!!!!	Iklan yang ada di berita menutupi isi berita dan tidak ada tombol untuk menutup iklan tersebut jadi beritanya tak dapat dibaca semua. Sebaiknya iklannya dibawah judul sebelum isi berita atau di bawah berita!	1	Negative
1766	Gak bs liat komen	Sehabis update malah g bs liat komen neh.	4	Negative
1767	Crashed terus	"Appsnya crashed terus 
Tidak bisa isi komen 
Saya pakai iOS 7.06"	2	Negative
1768	Bug ios 7	Udah bagus sih update buat ios 7, tapi bugnya masih banyak dari daftar nggak bisa, halaman yang masih kemana mana ya gitu aja deh, tapi kerja bagus top deh kompas	3	Negative
1770	Stabil dan bagus	Lancar di ios 7	5	Positive
1771	Not too good..	"Sering Crash!!
Standar deh.."	3	Negative
1772	Mantap	Bacaan ku selalu	5	Neutral
1773	Kompas appa	Mantap... I like it	5	Positive
1774	Hangat	"Beritanya baru, dan masih hangat.
Pertahankanlah"	4	Positive
1775	The Best eNewspaper	I Love Kompas Newspaper with its news ever since.Nothing else can be compared in Indonesia .	5	Positive
1776	Kompas woke	Bagus aplikasinya, navigasi nya gampang dan Lancar jaya. Bravo kompas	5	Positive
1778	Relevant and Dependable	Update beritanya bagus dan bisa diertanggungjawabkan akurasinya, khas Kompas. Fitur2nya ok dan stanil	5	Positive
1781	Good!	Bagus jg tapi harus terus di update.	5	Positive
1783	Kompas te o pe be ge te	Sangat membantu kaum awam yg haus berita	5	Positive
1784	Lumayan	Beritanya gak sebanyak tetangga sebelah	4	Negative
1785	Bagus	Suka karena tampilan lebih simple	4	Positive
1786	Good	Informatif	4	Positive
1788	Great apps	This is the best to read the news	5	Positive
1793	iklan satu page full nya... sangat mengganggu	"versi sebelumnya lebih baik dalam mendisplay iklan, yang lain makin oke...;("	1	Negative
1794	Ngga bisa back	"Kok setelah update yg terakhir malah jadi ngga nyaman ya?

Setelah masuk ke satu berita jadi susah balik ke halaman sebelumnya. Tombol back di pojok kiri atas suka ngilang. Kadang ada tapi lebih sering ilangnya. 

Mana pop up iklannya ganggu banget. Iklan masukin di time line aja ngga usah pake pop up."	1	Negative
1795	Well done, kompascom!	"Update yg baru lbh sleek. Ada fitur notifikasi, swipe berita, dan bisa lihat comment juga. Nice improvement! 
Advertisement is okay, but no pop up advertisement please :)"	5	Positive
1798	Terlalu banyak iklan	"Buruk, iklan hampir disetiap sudut. Paling parah, sering banget ada popup iklan.
Desain dan performa, bagus. Tapi itu semua hilang krn terlalu banyak iklan. Jadi gak nyaman"	1	Negative
1799	Meh	Nyesel gue ngupdate sekarang ada iklannya	1	Negative
1803	Working great on my iphone	Applikasi yang bagus untuk iphone 5.	5	Positive
1804	Bad	Penuh bug, byk brita yg ga bs dibuka	1	Negative
1808	Recommended!!	Interface mudah dibaca di iPh*ne.	4	Positive
1809	Nice	Sudah bagus, tapi berita-beritanya hanya yang baru saja. Tidak bisa mengakses berita-berita yang lama.	4	Positive
1815	Kurang	Masih sering bug... Terkadang suka keluar aplikasi sendiri... Dan terkadang artikelnya gak keluar...	2	Negative
1816	•••••	Great!	5	Positive
1817	Search	"Satu yg paling penting Butuh tombol search di aplikasi ini, dan berita terkait seperti di web,

Agar baca beritanya terus besambung bacanya nyaman, udah habis disemua kategori berita dibaca, trus malah gak bisa cari artikel lain, jadinya malah balik buka web lagi ahh"	4	Negative
1821	Masih ada kekurangan	Aplikasinya bagus, yang saya sukai karna aplikasinya responsif, tp ada kekirangan, belum ada kolom untuk komentar, mungkin ada yang tidak perhatikan history waktu artikelnya, yang seharusnya 12hours ago, menjadi 12 years ago	3	Positive
1823	New design, new hope	Kompas emang mantap, selalu terdepan dalam inovasi!	4	Positive
1824	5 stars, with 2 thumbs...	"It&#39;s just like 5 stars hotel, more comfortable... Great job!!!"	5	Positive
1825	Nice app	Very nice app and great intuitive UI.	5	Positive
1826	Makin Ok	Skrg sdh lebih baik dari versi sebelumnya..	3	Positive
1827	Fantastic	Fantastic apps	5	Positive
1828	Nice work!	Simple. Fast load. Up to date. Never crash. Really makes us easy to read the real news. If u live in Indonesia, this news app is a must	5	Positive
1829	All fixed	All sections (kanal) have been available in the new update! I like this app and it works fast!	5	Positive
1830	Optimized for iPhone 5	Love this new update. The fluidity is not as good as competitors, yet still a good start for reading news in Bahasa Indonesia.	5	Positive
1831	Nice apps	Applikasi yg bagus	5	Positive
1832	Jossss	"Maju terus mas Kompas... Kembalikan kejayaan Nusantara melalui berita&#34;mu"	5	Positive
1833	I love Kompas	This is the place to get the latest Indonesian news. Keep up the good work ??	5	Positive
1834	Nice	Ringan, fast, no ads, great app.. Tapi mungkin bisa kali ya kalo show more nya di tambah.. Ga hanya 14..	4	Positive
1838	Good And sangat Baik	Aku suka karena sangat simple seperti Tempo Interaktif ,Matur Suwun Mas Kompas	5	Positive
1840	Tampilan sederhana yang menarik	Tampilan barunya asik, berjalan mulus di iphone 3gs.	4	Positive
1841	Tampilan menarik	Secara keseluruhan stabil dan bagus tampilannya. Sayangnya berita lama tidak bisa diakses (?)	4	Positive
1842	Tampilan baru yg bagus	Pertama terima kasih aplikasinya telah dioptimalkan utk iPhone 5. Tampilan yg baru menjadi menarik utk berselancar di aplikasi ini. Informasi yg update mengikuti perkembangan berita. Kanal favorit saya jika membuka aplikasi berita ini adalah kanal tekno dan sepakbola.	5	Positive
1843	??????????	Bagus sekali versi yang Ini!	5	Positive
1844	Terimakasih	Sangat membantu, semoga kebenarannya terjamin	5	Positive
1845	Aplikasi Majalah Detik Keren	Keren ini, pioneer majalah digital di Indonesia, kontennya bagus dan juga gratis .. Two thumb buat Detik	5	Positive
1849	good magazine	saran, sedikit perbaiki fitur komennya supaya lebih cepat	5	Neutral
1851	Keren...	App nya keren...tapi...link detiknet nya salah tuh Om...ngelink ke detikhot. Semangat !!!	5	Positive
1852	keren gan	"mantab nih gan, ane suka ada majalah detik yg bs dibaca pake ipad, secara ane kan tipikal orangny simpel, via ipad ane ga perlu beli lemari buat naro majalah hardcover.. membacanya juga sudah nyaman, pilihan desainnya asik dimata.. yg awal bwt ane belum biasa itu krn gak ada halamannye hehe, tp that&#39;s fine... btw, ini majalah kesononya bakalan free kagak gan? hehe... ane tunggu inovasi2 berikutnya bwt detik. last, ane lempar cendol wal balok ijo + rate bintang maksimum bwt agan2 di majalah detik.."	5	Positive
1854	Aplikasi majalah online indonesia pertama di ipad :)	Asik langsung baca pake ipad	5	Positive
2002	Pelayanan	Terus tingkatkan , semoga banyak promo supaya ratting meningkat..	5	Positive
2005	Top Up Wallet--  tolong di percepat!!	"1. Gojek Company proses waktu terlalu lama utk Top Up account. 48 jam setelah menerima uang baru muncul di Wallet.   
Coba utk Top Up di percepat.  

2. Servis dari Gojek rider cukup memuaskan.  Gojek Rider ramah dan cukup professional menanganin tugasnya!!"	3	Positive
2007	Unable to change phone number	Unable to change phone number ,it keep saying invalid verification code after inputting pin/verification codes from SMS to new number	2	Negative
2008	Kesel woi	Masnya tolong mbok ya dikasi pulsa. Itu aku tungguin 1 jam dan aku sms call gk nyambung (pdhl ke sana cuman 5 menit) aku cancel dan 5 menit kemudian dia call uda beli, maksa2 bayar. Yaela aku uda order satu lagi, jadi dobel. Tolong mbok ya dilarang yg pulsanya rp1, dan jgn dipilih yang terlalu lelet.	3	Negative
2010	AMAZING	Its simple, easy and totally relevant for every day life. I had been using this a lot I think this is very helpful. True revolution!	5	Positive
2011	Amazing	Super innovative and functional, one of the best application I have! Drivers are mostly very nice, the app has regular updates... In a city with super deficient public transport, this app is a game changer !	5	Positive
2012	Make my life easier	Make my life easier to find ojek ??	5	Positive
2013	Make it landcsape mode!	"So that we can see the full menu on Go-Food!
Or at least make it scrolling text, because there&#39;s no way to read the full text. Please fix, thanks!"	3	Negative
2014	Ancuuuur	Aneh ya makin ke sini makin ancur versinya...mau pesen aja ampe sejam error mulu,akhirnya pake grapbike	1	Negative
2015	Update profile gagal	Tidak bisa update no telpon, kode verifikasi sms selalu gagal ????	2	Negative
2016	Sangat membantu banget	Membantu banget untuk kirim kirim barang dengan cepat...	5	Positive
2017	group order	ga ribet kek naik angkot, tapi yg ribetnya pas order gojek buat grup, kalo saja possible to order multiple gojek at same time, that would be AWESOME	4	Positive
2018	Keren	Berguna	5	Positive
2020	Fitur di tambah	Kalau bisa fiturnya di tambah seperti survey toko/distributor untuk para pengusaha perlu surveyor sblm mereka membeli brg dr siatributor trtentu. Dan juga untuk gojek di balikpapan mohon untuk di perbanyak. Go-jek Sejauh ini masih efektif.	5	Positive
2023	Jos Gandos	Ok bgt sangat membantu,, tingkatkan kualitas!!! Sukses terus!!!	5	Positive
2024	Sangat buruk	"Apps sangat buruk.
Pelan, tidak resposif, tidak ter susun secara rapi.
Dana tidak bisa di pakai kacuali hal tertentu. Go food tidak bisa bayar dari credit. Sangat2 merugikan dan menipu konsumen.

Saya tidak akan merekomendasikan applikasi ini.
Aplikasi penipu uang rakyat."	1	Negative
2025	Aplikasi crash dan error	Pas buka aplikasinya selalu langsung crash dan error, mohon diperbaiki.	1	Negative
2026	CACAT	aplikasi gojek untuk iOS benar benar dianak tirikan !!!!!	1	Negative
2028	Rusak	BETULIN DONG APLIKASINYA , RUSAK MULU NIH!!!!	1	Negative
2030	Rubah nomor telp	"1. Rubah no registrasi telp gagal terus. 

2. Pada saat milih lokasi tujuan, selalu keterangan &#34;time out&#34;"	1	Negative
2032	Problem server	Tolong server untuk di upgrade. Karena banyak user yang menggunakan akhirnya koneksi jadi gak stabil, buat ganti nomer handphone aja gak bisa bisa, pake jasa kirim paket sampe nyantol ke dua driver gojek	3	Negative
2033	Sudah bagus tapi...	Ide nya sangat kreatif dan sangat bermanfaat. Tetapi ada beberapa hal yang harus diperbaiki dari app ini seperti peta real time yang lebih responsif dan masih banyak bug.	4	Negative
2034	Mantap	Suka banget sih soalny garibet plus gue udh beberapa kali make go food dan go ride buat nganter gue kuliah harga nya kalo di itung itung lebih ngirit ongkos dan waktu deh hehehe	5	Positive
2036	Peta real time	Tolong peta real time nya diperbaiki karena saat ini tidak bisa real tracking .terima kasih	1	Neutral
2038	Servernya suka down	Suka error.	1	Negative
2039	Go-jek	Very bad error terus sih aplikasi ini	1	Negative
2040	Apps and server thumbs down	Saya sering sekali menggunakan jasa gojek, menurut saya servis dari driver gojek bagus dan professional. Namun sangat disayangkan seringkali apps gojek crash, dengan banyak problem2 lainnya (ex: calculating total saja bisa memakan waktu yg lama (10min) atau malah biasanya gagal). Dan juga sudah 2x saya mengalami kejadian yg hampir sama, di apps saya orderannya masih blm bisa disubmit tapi trnyt yg terjadi di server gojek multiply orders sehingga order yg sama diterima bbrp banyak gojek drivers yg akhirnya meminta saya untuk me-cancel orderan atas nama mrk, yg dimana tentu saja di apps saya ngga ada orderannya. Mohon dari pihak go-jek untuk memperhatikan problem-problem dalam apps tersebut karena hal tersebut sangat merugikan baik driver dan consumen. Apps yang seharusnya memudahkan sistem order malah membuat masalah yg panjang	1	Negative
2042	Good	Very helpful	5	Positive
2044	Crash benerin dong	Aplikasinya nggak bisa dibuka, gue pake ipad mini. Crash terus	1	Negative
2045	Top up	Sudah melakukan top up lebih dari 3x24jam namun blom di kredit jg smpe saat ini...sudah call ke call center tp blom ada hasil..mana nyambung nya susah lg...bingung mw lapor kemana lg...gmn niy gojek ??!	2	Negative
2046	Usefull	suka suka, jadi gampang kmna2 murah and ngerasa aman aja^^	5	Positive
2049	Applikasi paling burukkk	Applikasi dan call center sangat buruk. No hp saya dipakai org utk registrasi dan call center tdk bisa berbuat apa2x kecuali menyarankan saya utk regiter dengan nomor lain. Pinter amat sih call centernya. Hahaha	1	Negative
2050	Topup thumbs down	"Aneh topup koq sampe 2x24 jam saldo blm masuk jg??
Pihak gojek ditelp bilangnya msh proses bagian keuangan. Tidur kali keuangannya?!
Topup biar saldo bisa dipake malah jd ribet.
Gak di info jg brp lama proses topup sampe saldo muncul."	2	Negative
2054	updated	updated the app but it made the app worse. i can finally log in. BUT i cant see my progressed orders or even my completed ones. ugh. PLEASEEEEEE FIX!!!!!!!! do not update guys.	2	Negative
2055	Useful but	"this is best delivery app ever but I can&#39;t change my phone number why ???"	5	Positive
2056	GO JEK USER	Such a great app and business that helps my daily life much easier. Thanks GO JEK! Keep it up the great work! Highly Recomended for everyone who lives in Jakarta like me -cheers	5	Positive
2058	Great Idea for Apps	"doesn&#39;t matter about another app, this is always be the best. but for change mobile number its bugs. please fix it"	4	Positive
2062	App tidak merespon input data	"Versi App terbaru selalu crash ketika akan digunakan. Tampaknya tdk compatible dengan OS Iphone yang lama

Ketika menginput data alamat dan detail untuk jasa pengambilan paket kurir, input data sudah diketik tetapi tidak muncul di layar, hanya muncul di halaman konfirmasi order."	2	Negative
2069	Ga Bisa Update No Telepon	"saya ganti nomor, begitu saya masuk ke profile dan mau ganti nomor telepon tulisannya &#34;sorry we were unable to process your request, please try again&#34;. selama seminggu saya coba tiap hari tapi begini terus.
Akhirnya saya telepon ke CS 021 50251110 ternyata pihak CS ga bisa mengubah/update nomor telepon.
Ada baiknya jika kasus semacam ini bisa diselesaikan, karena secara logika ini sangat mudah.
Terima kasih
BR,
Andi Aswin"	1	Negative
2075	Best of the best??	Bagusss. Tapi masih suka error kadang2 sih	5	Negative
2077	Eror trus semenjak ada go mart	Versi terbaru semenjak ada go mart, bnyk fitur gk bs diakses sempurnah. Spt go food sering force close. Server gk stabil. Sering eror klo udh dpt driver. Tiba2 ilang lg. Dibenahin lg ya.	2	Negative
2084	HOW	"Could it get worse from version 1.0 to 2.0??? Because it did!
I need the Go-Food feature but I can&#39;t use it AT ALL because not only does the app crash EVERYTIME I use location service for so called &#34;Near Me&#34; feature, but I can&#39;t type street names either now - since version 2.0! No result come up because the default city is Jakarta only!
What about users outside of Jakarta?? We can&#39;t use location service otherwise it crashes and we can&#39;t type the street name nor name of the restaurant because it&#39;s not in Jakarta!

The most basic set up for this kind of app is to SET DEFAULT CITY and you can&#39;t even do that????

Seriously this app is nonsense"	1	Negative
2085	Ringtone'd be helpful	"Go-jek should add some ringtone for notifications so that we&#39;re better notified when we&#39;re putting the phone away."	5	Neutral
2086	Great	Great apps, it works really well on my device!????	4	Positive
2087	Honestly best app ever invented	Honestly best app ever invented, especially in a third world country like Indonesia. Sure, there are a few bugs that still need to be fix but they continue to roll out updates for bug fixes and on top of that launch new services. This version of the app has Go Mart! The app is great and makes my life so much easier!!!	5	Positive
2088	Please fix!	"I am in the middle of an ongoing shopping order and I cant track my driver because the all of my order history (both completed and in progress) are gone. I don&#39;t know how to get hold of the driver because it&#39;s not showing the driver&#39;s contact information due to missing order history. This is probably the fourth time it&#39;s happened in two months. Also, no one ever picks up your customer service line every time I try to call, so please do something about it."	2	Negative
2089	Tarif baru nya disappointing	Harganya jdi lebih mahal. Sy biasa ke kantor dr sudirman 10rb. Skrg malah naik jd 15rb.	1	Neutral
2090	Updating phone number	"Please fix this bug as soon as gojek pick up their costumers, i cant update my phone number

Thanks.."	3	Neutral
2091	Money	They took my credit ??	1	Neutral
2092	Crashing	Trying to checkout after selecting food but it keeps crashing on checkout page.. Been weeks and there have not been an update. Do something about it!	2	Negative
2093	NEED SOME UPDATE!	Apps need some improvements and UI update. Keeps crashing out after a while. The whole idea was great, but the apps is a let down.	1	Negative
2094	Bagus	udah. banyak drivernya.. Banyak promo gojek kredit..	5	Positive
2095	No good experience	"I managed to put order to food stall at mangga besar, found the courrier, but then the courrier called and asked me to cancel the order because he was still at blok M.
Good idea, bad experience"	1	Positive
2096	best apps but needs improvements	this is the most helpfull apps if you live in jakarta	4	Positive
2097	Satisfied, but still lot of rooms for improvement	"The apps itself is very helpful and I am one of the satisfied customers. 

Servers needs to be upgraded, frequently crashed and unable to process further - especially on the peak time and rush hours.

Suggestion also to have the training for the drivers how to read the maps, 

Please add the driver rating,  its very useful for you and us, as customer"	3	Positive
2098	Good apps but not stable	The goods has been delivered but the apps still saying its on the way. The driver icon in the map is not real time. Sometimes it cant show how much my credit	2	Negative
2099	Please fix the issue!	"Couldn&#39;t use gojek anymore"	1	Negative
2100	Doesnt work	the app is constantly unable to find me a driver even though there are plenty of drivers available. needs work and improvement.	1	Negative
2101	mr	the app is a total ripoff i dont what the heck is going on, but my order was labelled unable to processed yet again i ended up with four gojek drivers came to my place billed me with 1.3 million!!!!!!	1	Negative
2102	Great idea, needs lots of improvement	"Tried GoJek for the first time in Bali. Ordered from a local restaurant and thought once a driver had accepted the job I could just sit back and relax and wait for my order to arrived. Instead I got multiple calls from the driver asking me to text him my order, then my address, then to confirm if the total was correct. I appreciate that he was responsive and quick, but shouldn&#39;t he have received all this information from the GoJek app? Why did I need to submit everything first to the app and then to the driver? I&#39;ll use the service again since our options are somewhat limited around here for delivery, but I&#39;d love to see the app improved so that the process is a little less complicated."	2	Positive
2103	Needs an update	"Please release an update to fix a lot of bugs in the current version.

1. Been refreshing all day to have my app show my credit balance, but it&#39;s still not showing anything.
2. It took me 30 mins just to cancel a driver just tonight.
3. My driver also told me his app wouldn&#39;t even respond his clicking on the &#34;pick up&#34; button on his phone as the app didn&#39;t seem to connect perfectly to the server."	2	Negative
2104	App definitely frustating	"During peak hours it takes quite some time to process and worse it crashes often. Very frustating while using this app. Developer and Gojek will need to look at this matter seriously!!
The old version allows me to view driver&#39;s updated location, but with the new version it would not update anymore."	1	Negative
2106	Hmm	Aplikasinya suka keluar sendiri, mungkin krena saya pke store US kali ya? Hp sya iphone 5s, tp di hp teman sy yg 4s work smooth dan tidak pernah force close...	3	Negative
2110	LELET!!	Kerjaannya error terus!!	1	Negative
2115	Top app	Mantab banget nih app, bantu banget utk pesen2 makanan or anter dokumen	5	Positive
2116	Tambah opsi	"Force close di iphone 6.

Tambah opsi misalnya ketika toko tutup, kita tidak bisa order makanan"	3	Negative
2118	ga bs dipake	"sejak 2 versi terakhir gojek selalu ga bs cek dompet.. krn ga bs buka saldo dompet otomatis ga bs booked.. login seh bs tp ga bs apa2.. 

uda gt mau complaint tp yg ada cuma sarana via telp.. ga ada CS via email.. capek deh..."	1	Negative
2120	Crash!!	Appnya keluar crash tiap kali buka go food!! Fix this out!!!	1	Negative
2121	useless updates	Tiap buka go-food terus keluar sendiri. Update yang tidak berguna ??	1	Negative
2124	go-food	kalo buat transportation si ok ok aja, tp pas lg buka go-food nya, langsung crash. baru mau liat menu2 buat dipesen. selalu gitu tiap buka go-food. kenapa ya?	2	Negative
2127	History ilang	Updatenya jelek. History ga ada, saya ga bisa cancel booking, malah diomelin tukang gojeg	1	Negative
2130	app needs improvement	cant see my credit ughh	1	Negative
2131	WORST UPDATE EVER	This app is great but since the last update I cannot see my history such as last location used and completed task. Please bring the new update as soon as possible.	1	Neutral
2132	Awesome!	Not much to say , just excelent !!	5	Positive
2133	Solving one issue while adding another	"It&#39;s good that you&#39;ve fixed the login issue, but now my ride history does not appear at all. That same issue also prevented me from rating the drivers."	3	Neutral
2134	App needs work	"Generally useful, but needs improvements still. In-wallet feature should work with ALL transactions, not just courier service. App still crashes at times, driver&#39;s GPS could be more accurate (and real-time). Needs to add Favorite List under Go-Food. Keeps getting logged out every few days. Needs improvements ASAP."	3	Positive
2135	upgrade your server	"was waiting your &#39;calculating price&#39; for almost 30 minutes, then i decided to use grabtaxi"	1	Neutral
2136	Innovative	Helping people ????	4	Positive
2137	Cool	"A cool app but kinda need a feature that allows me to check drivers&#39; reputation."	4	Positive
2138	Mantap, sesuai dgn kebutuhan rakyat indonesia	Tlg diperbaharui utk makanan agar rating jg dimasukkan dlm apps dan juga jam buka rest/warung spy tdk nyusahin gojek yg sdh kesana ternyata msh tutup	5	Neutral
2139	Bug	Opsi transport jadi bug setelah update... Force closed	2	Negative
2140	It's no use	"Always and always session login has expired..sigh..
Please fix it and i&#39;ll change it to higher star"	1	Negative
2141	Awesome	"Super helpful, it&#39;s really easier my activity and it&#39;s very economic..many thanks for the founder. Such a great job"	5	Positive
